,PARAM INFO,,,,,,,,,,,,,,,,,,ORIG PROB,,,,,,,,,,,,,,,,,,,,,,,GIC POINT INFO ROUND 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIC CUT HEUR INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROOT BOUND,,,,,,,,,,,,,ROUND INFO,,,,,,,,,,,,,,,,,,TIME INFO,,,,,,,,,,,,,,,,,,,,,DONE!
modglob,1,1,0,-4,422,29,1000,0,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,291,422,95,196,0,2,0,98,324,291,422,291,169,0,29,968,0.008,1.6093E-06,1.6093E-06,20430947.62,,,20740508,0,-4,422,292.655,2.862,5,422,29,13382,461.448,9,2282,794,27.379,5,226,0,0,,,14212,490.069,341,964,310,10.69,8,16,0,0,,,10.584,0,224.443,48.489,0,675.693,350,29,29,14,63,6,0,0,0,0,258,65,0,0,0,0,58029,2412,0,55070,0,0,0,0,0,226,0,0,0,0,0,0,20430947.62,29,20460632.83,321,20474361.05,20474361.05,13728.21792,13728.21792,14,71,9.589474,14.024221,14.024221,67,2,20533319.46,20473194.03,20473607.34,20474361.05,0,1,0.93,0,1,0.983,0,1,0.949,0,1,0.882,0.03,0.04,0.01,124.19,18.53,0,211.56,0,68.6,2.39,0.01,0,11.62,0.14,0,56.74,0.01,0,214.25,Sat Oct 20 18:04:50 2018,modglob,DONE!
p0033,1,1,1,4,33,6,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,16,33,0,16,0,0,0,33,0,16,33,23,5,13,6,98,0.186,0.0025,0.0025,2520.571739,,,3089,1,4,33,25.667,1.667,0,33,6,233,38.833,3,134,74,12.333,2,34,0,0,,,173,28.833,22,32,0,0,0,0,0,0,,,0.069,0,0.408,0.132,0,0.634,37,6,6,4,0,0,0,0,0,0,0,0,0,0,31,7,648,329,0,288,0,0,0,0,0,0,0,0,0,0,0,0,2520.571739,6,2530.991887,31,2547.47691,2550.045406,16.485022,19.053518,4,7,1.833151,4.733257,5.185116,18,2,2562.051898,2535.288649,2535.288649,2550.045406,0.268,1,0.907,0.729,1,0.939,0.001,1,0.768,0,1,0.66,0,0.01,0,0.1,0.04,0,0.33,0,0.19,0.01,0,0,0,0.02,0,0,0,0.14,0.37,Sat Oct 20 11:20:14 2018,p0033,DONE!
p0040,1,1,0,0,40,4,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,23,40,0,23,0,0,0,40,0,23,40,28,18,0,4,110,0.12,0,0.000452284,61796.54505,,,62027,0,0,40,22.5,9,0,40,4,324,81,64,99,124,31,26,36,0,0,,,146,36.5,35,38,0,0,0,0,0,0,,,0.027,0,0.242,0.037,0,0.228,11,4,4,4,7,7,0,0,0,0,0,0,0,0,0,0,124,22,0,95,0,0,0,0,0,0,0,0,0,0,0,0,61796.54505,4,61811.87593,7,61811.87593,61811.87593,0,0,4,7,6.652439,6.652439,6.652439,4,1,61811.87593,61811.87593,61811.87593,61811.87593,0.073,0.701,0.464,0.092,0.839,0.55,0.073,0.701,0.464,0.031,0.839,0.466,0,0,0,0,0.02,0,0.06,0,0.04,0,0,0,0.04,0,0,0,0,0,0.06,Fri Oct 19 08:10:05 2018,p0040,DONE!
p0282,1,1,2,-4,282,26,1000,1000,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,241,282,0,241,0,0,0,282,0,241,282,252,14,0,26,1966,0.029,0.000162338,0.000162338,176867.5033,,,258411,2,-4,282,255.192,3.654,0,282,26,11787,453.346,15,3297,968,37.231,0,163,0,0,,,7312,281.231,210,313,0,0,0,0,0,0,,,0.084,0,2.947,0.185,0,7.373,1001,26,26,4,0,0,0,0,0,0,0,0,694,17,281,9,38516,7955,0,29536,0,42,0,0,0,8,0,0,0,0,0,0,176867.5033,26,179863.2035,975,181043.164,181043.164,1179.960424,1179.960424,4,26,3.673745,5.120777,5.120777,47,2,183845.6666,180694.434,180708.1081,181042.5239,0.046,1,0.498,0.104,1,0.898,0.008,1,0.438,0,1,0.367,0.01,0.03,0.01,53.83,14.76,0,815.71,0,747.01,10.44,0,0,0,0.15,0,0,251.79,495.05,826.3,Sun Oct 21 19:21:41 2018,p0282,DONE!
p0291,1,1,0,-2,291,10,1000,0,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,252,291,0,252,2,0,0,291,0,252,291,271,32,0,10,2031,0.028,0.001602564,0.001602564,1705.128761,,,5223.749,0,-2,291,254.6,4.3,0,291,10,4716,471.6,80,1913,273,27.3,3,49,0,0,,,2879,287.9,219,362,0,0,0,0,0,0,,,0.092,0,3.268,0.057,0,2.294,115,10,10,2,0,0,0,0,0,0,0,0,105,9,0,0,6652,0,0,6547,0,0,0,0,0,0,0,0,0,0,0,0,1705.128761,10,2682.677025,105,3116.832133,3116.832133,434.155108,434.155108,2,9,27.782147,40.120936,40.120936,21,2,3895.01382,2877.716221,3110.645561,3116.832133,0.021,1,0.502,0,1,0.8,0.006,1,0.6,0,1,0.37,0.02,0.01,0,15.14,4.12,0,60.2,0,40.91,0.16,0,0,0,0.03,0,0,40.88,0,60.45,Thu Oct 18 08:26:03 2018,p0291,DONE!
pipex,1,1,1,1,48,6,1000,1000,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,25,48,16,9,0,0,0,48,0,25,48,29,13,1,6,192,0.16,0.040186125,0.040186125,773.751062,,,788.263,1,1,48,11.167,6.833,0,48,6,1969,328.167,191,440,384,64,33,84,0,0,,,146,24.333,20,28,0,0,0,0,0,0,,,0.125,0,19.848,0.117,0,2.45,224,6,6,2,41,7,0,0,0,0,0,0,0,0,177,11,3625,2202,0,1205,0,0,0,0,0,0,0,0,0,0,0,0,773.751062,6,773.8690854,218,773.959297,773.959297,0.090212,0.090212,2,18,0.813285,1.434922,1.434922,12,2,774.362093,773.869684,773.869684,773.959264,0.07,0.828,0.517,0.551,0.989,0.749,0.015,0.828,0.377,0,1,0.495,0,0,0,0.16,0.29,0,5.2,0,4.73,0.27,0,0,0.65,0.02,0,0,0,4.06,5.47,Sun Oct 21 22:00:17 2018,pipex,DONE!
pp08a,1,1,0,-3,240,53,1000,0,0,0,1,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,136,240,64,72,0,0,0,64,176,136,240,110,21,19,53,480,0.015,0.002,0.002,2748.345238,,,7350,0,-3,240,170.075,1.83,13,240,53,3569,67.34,10,614,590,11.132,1,102,0,0,,,12621,238.132,210,428,812,15.321,14,26,0,0,,,0.954,0,10.807,12.344,0,29.536,448,53,53,43,46,15,0,0,0,0,0,0,349,60,0,0,19868,540,0,18933,0,0,0,0,0,0,0,0,0,0,0,0,2748.345238,53,5115.289314,395,5254.445415,5254.445415,139.156101,139.156101,43,75,51.436803,54.460847,54.460847,102,2,5825.73912,5115.289314,5115.289314,5254.445415,0.974,1,1,0.991,1,1,0,1,0.964,0,1,0.97,0,0.04,0,2.69,4.18,0,23.28,0,16.29,1.35,0.01,0,3.55,0.06,0,0,12.62,0,24.85,Fri Oct 19 17:15:44 2018,pp08a,DONE!
probportfolio,1,1,1,0,320,125,1000,1000,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,302,320,1,301,0,0,0,300,20,302,320,194,0,300,125,6620,0.069,0.00019,0.00019,5,,,16.73424676,1,0,320,299,1.016,0,320,125,14087,112.696,59,155,205,1.64,1,18,0,0,,,37375,299,299,299,0,0,0,0,0,0,,,6.701,0,1424.175,55.145,0,11877.765,1125,125,125,69,0,0,0,0,0,0,380,60,0,0,620,83,92331,7382,0,83948,0,0,0,0,0,0,0,125,0,0,0,0,5,125,7.949851807,1000,7.966917109,7.966917109,0.017065,0.017065,69,143,25.138825,25.284257,25.284257,218,2,8.058986,7.953576,7.954941,7.96061,0.115,0.984,0.436,0.075,1,0.641,0.004,0.984,0.327,0,1,0.208,0.03,0.21,0.06,135.75,46.1,0,214.35,0,31.79,6.21,0.04,0,0,0.12,0,19.97,0,11.59,221.63,Mon Oct 22 19:08:22 2018,probportfolio,DONE!
sample2,1,1,1,0,67,12,1000,1000,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,45,67,21,24,0,0,0,21,46,45,67,37,12,19,12,146,0.048,0.022222222,0.022222222,247,,,375,1,0,67,38.667,1.583,,67,12,1571,130.917,36,275,100,8.333,1,19,,,,,870,72.5,43,92,,,,,,,,,1.818,0,6.19,3.452,0,11.37,239,12,12,2,93,7,0,0,0,0,0,0,0,0,134,1,4651,2616,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,247,12,254.5,227,263.8194444,263.8194444,9.319444,9.319444,2,8,5.859375,13.140191,13.140191,26,0,269.5,254.5,254.5,254.5,0.97,1,0.991,0.227,1,0.961,0.006,1,0.783,0,1,0.805,0,0,0,0.13,0.26,0,3.56,0,3.15,0.26,0,0,0.82,0.03,0,0,0,2.29,3.83,Tue Sep  4 17:46:43 2018,sample2,DONE!
sentoy,1,1,0,-4,60,8,1000,0,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,30,60,0,30,0,0,0,60,0,30,60,52,0,0,8,1800,1,8.04E-07,8.04E-07,-7839.278018,,,-7772,0,-4,60,0,5.875,,60,8,17983,2247.875,1927,2490,2097,262.125,36,431,,,,,0,0,0,0,,,,,,,,,0.819,0,959.96,0.63,0,234.348,554,8,8,0,298,3,0,0,0,0,248,8,0,0,0,0,6744,4510,0,1668,0,20,0,0,0,0,0,0,0,0,0,0,-7839.278018,8,-7832.291896,546,-7829.858818,-7829.858818,2.433078,2.433078,0,11,10.38396,14.000412,14.000412,90,0,-7829.717875,-7832.291896,-7832.291896,-7831.693648,0.016,0.237,0.084,0.017,0.263,0.142,0,0.237,0.013,0,0.899,0.113,0.01,0,0,16.23,19.83,0,276.01,0,239.93,2.69,0,0,187.28,0.1,0,52.48,0,0,278.92,Thu Sep  6 04:21:53 2018,sentoy,DONE!
stein15_nosym,1,1,0,-3,15,5,1000,0,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,35,15,0,35,0,0,0,15,0,35,15,2,15,0,5,105,0.2,0.166666667,0.166666667,35,,,45,0,-3,15,5.8,0,,15,5,168,33.6,22,41,2,0.4,0,1,,,,,75,15,14,17,,,,,,,,,0.221,0,1.296,0.492,0,1.76,46,5,5,2,0,0,0,0,0,0,41,9,0,0,0,0,225,78,0,106,0,0,0,0,0,0,0,0,0,0,0,0,35,5,40,41,40.83333333,40.83333333,0.833333,0.833333,2,9,50,58.333333,58.333333,9,0,40.879032,40.625,40.625,40.833333,0.012,0.347,0.17,0.025,0.26,0.125,0.002,0.356,0.177,0.003,0.601,0.183,0,0.01,0,0.21,0.01,0,0.26,0,0.04,0.01,0,0,0,0,0,0.04,0,0,0.28,Wed Sep  5 04:16:52 2018,stein15_nosym,DONE!
stein27_nosym,1,1,0,0,27,27,1000,0,0,1,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,117,27,0,117,0,0,0,27,0,117,27,0,90,1,27,351,0.111,0.111111111,0.111111111,126,,,207,0,0,27,9.667,0.148,,27,27,3606,133.556,46,182,10,0.37,0,1,,,,,873,32.333,18,45,,,,,,,,,0.192,0,2.501,0.435,0,2.991,1027,27,27,3,0,0,0,0,0,0,80,1,920,4,0,0,9510,435,0,8075,0,0,0,0,0,0,0,27,0,0,0,0,126,27,132,1000,133.1111111,133.1111111,1.111111,1.111111,3,5,7.407407,8.77915,8.77915,52,0,152.25,132,132,132.088889,0.017,0.902,0.208,0.005,0.304,0.126,0.007,1,0.293,0,0.902,0.161,0.01,0.02,0,0.04,0.55,0,10.76,0,10.17,3.82,0,0,0,0.02,0,1.18,8.95,0,14.69,Wed Sep  5 04:54:34 2018,stein27_nosym,DONE!
stein45_nosym,1,1,1,0,45,45,1000,0,0,1,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,330,45,0,330,0,0,0,45,0,330,45,0,264,0,45,989,0.067,0.003205128,0.003205128,349.6666667,,,594,1,0,45,16.4,0.222,,45,45,15119,335.978,235,451,12,0.267,0,1,,,,,1046,23.244,16,46,,,,,,,,,1.792,0,174.634,2.558,0,193.278,1045,45,45,2,202,1,0,0,0,0,798,5,0,0,0,0,22412,14703,0,6709,0,0,0,0,0,0,0,45,0,0,0,0,349.6666667,45,367.0051245,1000,368.1078405,368.1078405,1.102716,1.102716,2,6,7.096231,7.547547,7.547547,90,0,372.447241,367.005125,367.005125,367.005125,0.011,0.695,0.216,0.033,0.349,0.149,0.011,0.943,0.365,0,0.99,0.25,0.01,0.15,0.01,32.46,3.12,0,56.23,0,20.61,6.38,0,0,13.63,0.06,0,6.87,0,0,63.31,Thu Sep  6 11:39:48 2018,stein45_nosym,DONE!
timtab1,1,1,0,-1,397,136,1000,0,0,0,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,171,397,171,0,0,0,94,77,226,171,397,230,7,252,136,829,0.012,0.016666667,0.016666667,28694,,,764772,0,-1,397,362.088,15.184,,397,136,1812,13.324,2,37,451,3.316,1,11,,,,,48374,355.691,224,393,,,,,,,,,0.927,0,3.912,0.07,0,0.398,137,136,136,38,0,0,0,0,0,0,0,0,1,1,0,0,1812,0,0,1811,0,0,0,0,0,0,0,0,0,0,0,0,28694,136,157786.5744,1,32754,157786.5744,0,0,38,1,17.537893,0.551572,17.537893,136,0,157786.5744,157786.5744,157786.5744,157786.5744,0,1,0.881,2,-1,'+inf',0,1,0.881,2,-1,'+inf',0.02,0.13,0,0.6,3.86,0,5.26,0,0.49,0.01,0.02,0,0,0.01,0,0,0.42,0,5.48,Tue Sep  4 19:50:54 2018,timtab1,DONE!
vpm1,1,1,1,0,378,15,1000,1000,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,234,378,42,192,0,0,0,168,210,234,378,207,190,86,15,749,0.008,0.001666667,0.001666667,15.41666667,,,20,1,0,378,284.8,16.733,,378,15,1467,97.8,19,447,170,11.333,2,26,,,,,5575,371.667,355,423,,,,,,,,,0.09,0,0.537,0.031,0,0.116,113,15,15,10,0,0,0,0,0,0,75,25,0,0,23,12,52305,2605,0,49602,0,0,0,0,0,0,0,0,0,0,0,0,15.41666667,15,15.875,98,15.88333333,15.88333333,0.008333,0.008333,10,37,10,10.181818,10.181818,34,0,16.054118,15.875,15.875,15.883333,0.26,1,0.953,0.013,1,0.523,0,1,0.905,0,1,0.913,0.02,0.01,0,0.48,3.75,0,16.02,0,11.74,0.08,0.01,0,0,0.05,0,10.96,0,0.7,16.2,Thu Sep  6 08:07:35 2018,vpm1,DONE!
vpm2,1,1,0,-4,378,31,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,234,378,42,192,0,0,0,168,210,234,378,252,159,72,31,917,0.01,0.000166667,0.000166667,9.889264597,,,13.75,0,-4,378,288.032,14.065,,378,31,16565,534.355,8,5115,730,23.548,3,150,,,,,14310,461.613,301,936,,,,,,,,,0.082,0,4.983,0.163,0,1.898,444,31,31,12,413,48,0,0,0,0,0,0,0,0,0,0,34875,3582,0,30880,0,0,0,0,0,0,0,0,0,0,0,0,9.889264597,31,10.28229087,413,10.34122777,10.34122777,0.058937,0.058937,12,48,10.180088,11.70666,11.70666,63,0,10.635173,10.290248,10.292408,10.31814,0.04,1,0.876,0,1,0.773,0,1,0.865,0,1,0.838,0.02,0.03,0.01,36.86,35.16,0,116.11,0,43.93,1.62,0,0,43.66,0.19,0,0,0.01,0,117.92,Wed Sep  5 19:24:31 2018,vpm2,DONE!
glass4,1,1,1,0,322,72,1000,0,0,1,0,1000,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,396,322,36,360,0,0,0,302,20,396,322,249,0,303,72,1815,0.014,0,0.000000119,800002400,,,1200012600,1,0,322,279.694,3.611,1,322,72,1623,22.542,13,57,661,9.181,4,26,0,0,,,23262,323.083,319,334,2628,36.5,36,37,0,0,,,588.437,0,7765.411,96.421,0,997.824,493,72,72,36,0,0,0,0,0,0,152,38,269,43,0,0,214479,20959,0,193099,0,0,0,0,0,0,0,0,0,0,0,0,800002400,72,800002400,421,800002400.1,800002400.1,0.094317,0.094317,36,81,0,0,0,216,3,800002400,800002400,800002400.1,800002400.1,0.262,1,0.99,1,1,1,0.123,1,0.99,0,1,0.983,0.02,0.08,0,1.15,6.38,0,40.49,0,32.7,0.51,0,0,0,0.06,0,31.12,1.42,0,41.5,Fri Nov  2 07:10:51 2018,glass4,DONE!
misc01,1,1,0,-1,83,12,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,54,83,17,37,0,0,0,82,1,54,83,59,30,18,12,745,0.166,0.125,0.125,57,,,563.5,0,-1,83,18.833,0,0,83,12,6619,551.583,327,719,87,7.25,4,13,0,0,,,1829,152.417,94,327,57,4.75,4,5,0,0,,,0.089,0,1.248,0.128,0,0.884,59,12,12,4,0,0,0,0,0,0,0,0,0,0,47,6,3078,1111,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,57,12,57,47,57,57,0,0,4,6,0,0,0,12,1,57,57,57,57,0.099,0.851,0.462,0.256,0.967,0.545,0.099,0.851,0.462,0.003,0.996,0.522,0,0.01,0,5.06,1.19,0,12.32,0,6.06,0.05,0,0,0,0.02,0,0,0,6.03,12.39,Fri Nov  2 18:58:44 2018,misc01,DONE!
misc02,1,1,0,0,59,8,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,39,59,14,25,0,0,0,58,1,39,59,39,21,14,8,413,0.179,0.003333333,0.003333333,1010,,,1690,0,0,59,24.875,0,0,59,8,1864,233,146,286,56,7,3,14,0,0,,,873,109.125,51,182,32,4,4,4,0,0,,,0.049,0,0.362,0.155,0,0.779,15,8,8,8,7,7,0,0,0,0,0,0,0,0,0,0,48,16,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1010,8,1010,7,1010,1010,0,0,8,7,0,0,0,8,1,1010,1010,1010,1010,0,1,0.453,0.003,0.884,0.304,0,1,0.453,0.003,0.884,0.304,0,0.01,0.01,0,0.63,0,0.69,0,0.06,0,0,0,0.02,0.02,0,0,0,0,0.71,Fri Nov  2 09:40:29 2018,misc02,DONE!
misc03,1,1,0,-1,160,22,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,96,160,27,69,0,0,0,159,1,96,160,125,26,43,22,2053,0.134,0,0.001666667,1910,,,3360,0,-1,160,47.182,0.909,0,160,22,31761,1443.682,155,3333,127,5.773,0,26,0,0,,,4167,189.409,78,415,44,2,2,2,0,0,,,0.047,0,1.442,0.142,0,2.293,96,22,22,8,74,11,0,0,0,0,0,0,0,0,0,0,1870,604,0,1186,0,1,0,0,0,5,0,0,0,0,0,0,1910,22,1910,74,1910,1910,0,0,8,11,0,0,0,22,1,1910,1910,1910,1910,0.047,1,0.592,0.285,1,0.694,0.047,1,0.592,0.003,1,0.589,0.01,0.01,0,66.66,18.82,0,96.7,0,11.13,0.26,0,0,10.98,0.12,0,0,0,0,97,Fri Nov  2 11:05:30 2018,misc03,DONE!
misc07,1,1,0,0,260,26,1000,0,0,1,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,212,260,35,177,0,0,0,259,1,212,260,210,44,71,26,8619,0.156,0,0.000714286,1415,,,2810,0,0,260,62.769,1.731,0,260,26,563473,21672.038,7576,32982,764,29.385,0,137,0,0,,,42104,1619.385,369,4255,26,1,1,1,0,0,,,0.064,0,8.626,0.131,0,13.353,629,26,26,12,0,0,0,0,0,0,603,220,0,0,0,0,47320,1654,0,45061,0,0,0,0,0,2,0,0,0,0,0,0,1415,26,1415,603,1415,1415,0,0,12,220,0,0,0,26,1,1415,1415,1415,1415,0.004,0.414,0.117,0.117,0.978,0.342,0.004,0.414,0.117,0,0.998,0.176,0.02,0.07,0.01,0.72,6453.66,0,6660.58,0,205.89,21.12,0,0,0,1.53,0,203.2,0,0,6681.96,Fri Nov  2 09:41:27 2018,misc07,DONE!
p0201,1,1,0,0,201,40,1000,0,0,0,1,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,133,201,0,133,0,0,0,201,0,133,201,150,84,26,40,1923,0.072,0.05,0.05,6875,,,7615,0,0,201,163.175,0.95,0,201,40,20308,507.7,71,1098,265,6.625,1,13,0,0,,,16510,412.75,194,854,0,0,0,0,0,0,,,0.013,0,0.224,0.061,0,0.191,87,40,40,19,47,17,0,0,0,0,0,0,0,0,0,0,320,35,0,238,0,0,0,0,0,0,0,0,0,0,0,0,6875,40,6875,47,6875,6875,0,0,19,17,0,0,0,40,1,6875,6875,6875,6875,0.001,1,0.215,0.001,1,0.152,0.001,1,0.215,0,1,0.146,0.01,0.02,0.01,0.15,32.35,0,33.26,0,0.65,0.23,0,0,0.31,0.19,0,0,0.02,0,33.62,Fri Nov  2 09:50:38 2018,p0201,DONE!
rgn,1,1,0,-1,180,19,1000,1000,0,0,0,0,0,1,0.00E+00,1.00E-07,1.00E-07,3.60E+03,24,180,20,4,0,0,0,100,80,24,180,156,0,36,19,460,0.106,0.217391303,0.217391303,48.79999856,,,82.1999,0,-1,180,130.263,5.632,0,180,19,3881,204.263,23,1230,325,17.105,0,92,0,0,,,3061,161.105,126,254,230,12.105,5,14,0,0,,,0.041,0,0.151,0.034,0,0.151,34,19,19,11,0,0,0,0,0,0,0,0,0,0,15,9,2895,1028,0,1852,0,0,0,0,0,0,0,0,0,0,0,0,48.79999856,19,48.79999856,15,48.79999856,48.79999856,0,0,11,9,0,0,0,19,1,48.799999,48.799999,48.799999,48.799999,0.513,1,0.97,0.126,1,0.9,0.513,1,0.97,0.126,1,0.9,0,0.01,0.01,0.36,1.22,0,3.9,0,2.29,0,0,0,0,0.03,0,0,0,2.26,3.92,Fri Nov  2 19:04:02 2018,rgn,DONE!
